...1,TPR_mean,TPR_SD,FDR_mean,FDR_SD,L2_mean,L2_SD,MSPE_mean,MSPE_SD,config,a,number_of_simulations,method,method_id,source_file
1,0.808,0.285572259072052,0.0221262626262626,0.0506328576216372,0.731814008695997,1.06927208788273,1.17377874677701,0.902944286182824,(i),1.01,100,CAVI,(II),results_1.01_(i).csv
NA,0.93575,0.0467713922319309,0.0127849051233525,0.0201477761840029,0.400936479088106,0.0575814573846546,0.920740384804272,0.0300679392769223,(ii),1.01,100,CAVI,(II),results_1.01_(ii).csv
NA,0.908,0.14047538337137,0.0148571428571429,0.0570115534893552,0.187680240806503,0.0792559348723885,0.967946437294344,0.042117874003809,(iii),1.01,100,CAVI,(II),results_1.01_(iii).csv
1,0.9295,0.0590732296784801,0.00804970760233918,0.0197667090635591,0.295750869344126,0.0579956041180062,0.934673078456957,0.0369104236131574,(iv),1.01,100,CAVI,(II),results_1.01_(iv).csv
1,0.807,0.285067775035405,0.0214664502164502,0.0522148732179815,0.742139230954525,1.06601445508656,1.17788151237376,0.901571644545507,(i),1.1,100,CAVI,(II),results_1.1_(i).csv
NA,0.935,0.0467369600460217,0.0150796900891146,0.0208290831959351,0.424463417726981,0.0585945300795662,0.928725070586821,0.0296381036367657,(ii),1.1,100,CAVI,(II),results_1.1_(ii).csv
NA,0.908,0.14047538337137,0.0135238095238095,0.0506976003823889,0.188636172777026,0.0788872967330014,0.968248679426544,0.0421154236233874,(iii),1.1,100,CAVI,(II),results_1.1_(iii).csv
1,0.9295,0.0590732296784801,0.00993715348978507,0.0249472374251767,0.303107682383176,0.0579291853424243,0.936813801722302,0.0368448038717973,(iv),1.1,100,CAVI,(II),results_1.1_(iv).csv
1,0.806,0.284913596684605,0.0446861470180558,0.131686607817678,0.841758087962066,1.11392822326138,1.21621090507199,0.897568596579035,(i),1.2,100,CAVI,(II),results_1.2_(i).csv
NA,0.30225,0.0810361404597113,0.949258456276382,0.0244305205289349,10.8416731291854,1.32492018133768,5.45128237534824,1.41832643740716,(ii),1.2,100,CAVI,(II),results_1.2_(ii).csv
NA,0.906,0.140576015598736,0.0238815331010453,0.10546761222904,0.22282416025122,0.299162839989689,0.97641515721616,0.0889963048823067,(iii),1.2,100,CAVI,(II),results_1.2_(iii).csv
1,0.7945,0.137784599863686,0.405755022370575,0.35213494914234,2.76775520271308,2.47133360591634,1.91123782624603,0.839434155174293,(iv),1.2,100,CAVI,(II),results_1.2_(iv).csv
1,0.659,0.270836713265623,0.388804136616789,0.337295960941855,2.67870201488012,1.84718510505063,1.77881853834515,0.879817724115272,(i),1.3,100,CAVI,(II),results_1.3_(i).csv
NA,0.1715,0.0500025251887595,0.92287776960802,0.0966806226945553,10.6646357602243,0.970195503682154,8.30993571570875,1.04206700562627,(ii),1.3,100,CAVI,(II),results_1.3_(ii).csv
